year,samplingLocation,sampColor,Lattitude,Longitude,dateRange,dateSample,fieldNumber,cropPhenology,plotID,Disease.Incidence,Disease.Severity
2018,Bhola,greenNorth,22.770296,90.599634,firstSampling,Tue Feb 20 00:00:00 UTC 2018,19,tillering,BholagreenNorthfirstSampling19tillering,0,0
2018,Bhola,greenNorth,22.768769,90.641304,firstSampling,Wed Feb 21 00:00:00 UTC 2018,20,heading,BholagreenNorthfirstSampling20heading,0,0
2018,Bhola,greenNorth,22.770676,90.642395,firstSampling,Wed Feb 21 00:00:00 UTC 2018,21,heading,BholagreenNorthfirstSampling21heading,0,0
2018,Bhola,greenNorth,22.772253,90.641015,firstSampling,Wed Feb 21 00:00:00 UTC 2018,22,heading,BholagreenNorthfirstSampling22heading,0,0
2018,Bhola,blueNorth,22.712618,90.657629,secondSampling,Tue Feb 27 00:00:00 UTC 2018,1,heading,BholablueNorthsecondSampling1heading,0,0
2018,Bhola,blueNorth,22.717765,90.659995,secondSampling,Tue Feb 27 00:00:00 UTC 2018,2,heading,BholablueNorthsecondSampling2heading,0,0
2018,Bhola,blueNorth,22.717614,90.656948,secondSampling,Tue Feb 27 00:00:00 UTC 2018,3,heading,BholablueNorthsecondSampling3heading,0,0
2018,Bhola,blueNorth,22.715547,90.656512,secondSampling,Tue Feb 27 00:00:00 UTC 2018,4,stemElongation,BholablueNorthsecondSampling4stemElongation,0,0
2018,Bhola,blueSouth,22.66504,90.6442,secondSampling,Tue Feb 27 00:00:00 UTC 2018,1,heading,BholablueSouthsecondSampling1heading,0,0
2018,Bhola,blueSouth,22.663289,90.642219,secondSampling,Tue Feb 27 00:00:00 UTC 2018,2,heading,BholablueSouthsecondSampling2heading,0,0
2018,Bhola,blueSouth,22.661589,90.643,secondSampling,Tue Feb 27 00:00:00 UTC 2018,3,heading,BholablueSouthsecondSampling3heading,0,0
2018,Bhola,blueSouth,22.660247,90.655593,secondSampling,Tue Feb 27 00:00:00 UTC 2018,4,heading,BholablueSouthsecondSampling4heading,0,0
2018,Bhola,blueEast,22.674083,90.675062,secondSampling,Tue Feb 27 00:00:00 UTC 2018,1,stemElongation,BholablueEastsecondSampling1stemElongation,0,0
2018,Bhola,blueEast,22.67851,90.673687,secondSampling,Tue Feb 27 00:00:00 UTC 2018,2,stemElongation,BholablueEastsecondSampling2stemElongation,0,0
2018,Bhola,blueEast,22.676631,90.671588,secondSampling,Tue Feb 27 00:00:00 UTC 2018,3,heading,BholablueEastsecondSampling3heading,0,0
2018,Bhola,blueEast,22.6771,90.676471,secondSampling,Tue Feb 27 00:00:00 UTC 2018,4,heading,BholablueEastsecondSampling4heading,0,0
2018,Bhola,blueWest,22.697293,90.634769,secondSampling,Tue Feb 27 00:00:00 UTC 2018,1,heading,BholablueWestsecondSampling1heading,0,0
2018,Bhola,blueWest,22.697698,90.628035,secondSampling,Tue Feb 27 00:00:00 UTC 2018,2,stemElongation,BholablueWestsecondSampling2stemElongation,0,0
2018,Bhola,blueWest,22.696874,90.630149,secondSampling,Tue Feb 27 00:00:00 UTC 2018,3,tillering,BholablueWestsecondSampling3tillering,0,0
2018,Bhola,blueWest,22.699277,90.629957,secondSampling,Tue Feb 27 00:00:00 UTC 2018,4,tillering,BholablueWestsecondSampling4tillering,0,0
2018,Bhola,greenNorth,22.758385,90.609101,secondSampling,Thu Mar 01 00:00:00 UTC 2018,1,heading,BholagreenNorthsecondSampling1heading,0,0
2018,Bhola,greenNorth,22.757122,90.607547,secondSampling,Thu Mar 01 00:00:00 UTC 2018,2,stemElongation,BholagreenNorthsecondSampling2stemElongation,0,0
2018,Bhola,greenNorth,22.757351,90.605196,secondSampling,Thu Mar 01 00:00:00 UTC 2018,3,stemElongation,BholagreenNorthsecondSampling3stemElongation,0,0
2018,Bhola,greenNorth,22.778857,90.593963,secondSampling,Sun Mar 04 00:00:00 UTC 2018,4,tillering,BholagreenNorthsecondSampling4tillering,0,0
2018,Bhola,greenNorth,22.773425,90.638998,secondSampling,Sun Mar 04 00:00:00 UTC 2018,5,heading,BholagreenNorthsecondSampling5heading,0,0
2018,Bhola,greenNorth,22.7597275,90.6062493,secondSampling,Thu Mar 01 00:00:00 UTC 2018,6,tillering,BholagreenNorthsecondSampling6tillering,0,0
2018,Bhola,greenNorth,22.760484,90.608363,secondSampling,Thu Mar 01 00:00:00 UTC 2018,7,stemElongation,BholagreenNorthsecondSampling7stemElongation,0,0
2018,Bhola,greenNorth,22.761178,90.606284,secondSampling,Thu Mar 01 00:00:00 UTC 2018,8,tillering,BholagreenNorthsecondSampling8tillering,0,0
2018,Bhola,greenNorth,22.771346,90.60113,secondSampling,Sun Mar 04 00:00:00 UTC 2018,9,heading,BholagreenNorthsecondSampling9heading,0,0
2018,Bhola,greenNorth,22.769871,90.604652,secondSampling,Thu Mar 01 00:00:00 UTC 2018,10,stemElongation,BholagreenNorthsecondSampling10stemElongation,0,0
2018,Bhola,greenNorth,22.769327,90.602248,secondSampling,Sun Mar 04 00:00:00 UTC 2018,11,stemElongation,BholagreenNorthsecondSampling11stemElongation,0,0
2018,Bhola,greenNorth,22.771301,90.602248,secondSampling,Thu Mar 01 00:00:00 UTC 2018,12,stemElongation,BholagreenNorthsecondSampling12stemElongation,0,0
2018,Bhola,greenNorth,22.773273,90.602449,secondSampling,Sun Mar 04 00:00:00 UTC 2018,13,heading,BholagreenNorthsecondSampling13heading,0,0
2018,Bhola,greenNorth,22.759804,90.611098,secondSampling,Thu Mar 01 00:00:00 UTC 2018,14,stemElongation,BholagreenNorthsecondSampling14stemElongation,0,0
2018,Bhola,greenNorth,22.758746,90.6137337,secondSampling,Thu Mar 01 00:00:00 UTC 2018,15,heading,BholagreenNorthsecondSampling15heading,0,0
2018,Bhola,greenNorth,22.77304,90.60069,secondSampling,Thu Mar 01 00:00:00 UTC 2018,16,stemElongation,BholagreenNorthsecondSampling16stemElongation,0,0
2018,Bhola,greenNorth,22.772428,90.598679,secondSampling,Sun Mar 04 00:00:00 UTC 2018,17,heading,BholagreenNorthsecondSampling17heading,0,0
2018,Bhola,greenNorth,22.771083,90.5973,secondSampling,Sun Mar 04 00:00:00 UTC 2018,18,heading,BholagreenNorthsecondSampling18heading,0,0
2018,Bhola,greenNorth,22.770296,90.599634,secondSampling,Sun Mar 04 00:00:00 UTC 2018,19,heading,BholagreenNorthsecondSampling19heading,0,0
2018,Bhola,greenNorth,22.768769,90.641304,secondSampling,Sun Mar 04 00:00:00 UTC 2018,20,heading,BholagreenNorthsecondSampling20heading,0,0
2018,Bhola,greenNorth,22.770676,90.642395,secondSampling,Sun Mar 04 00:00:00 UTC 2018,21,heading,BholagreenNorthsecondSampling21heading,0,0
2018,Bhola,greenNorth,22.772253,90.641015,secondSampling,Sun Mar 04 00:00:00 UTC 2018,22,heading,BholagreenNorthsecondSampling22heading,0,0
2018,Bhola,greenSouth,22.6202,90.6164,secondSampling,Wed Feb 28 00:00:00 UTC 2018,1,stemElongation,BholagreenSouthsecondSampling1stemElongation,0,0
2018,Bhola,greenSouth,22.618222,90.615456,secondSampling,Thu Mar 01 00:00:00 UTC 2018,2,stemElongation,BholagreenSouthsecondSampling2stemElongation,0,0
2018,Bhola,greenSouth,22.615945,90.617684,secondSampling,Thu Mar 01 00:00:00 UTC 2018,3,stemElongation,BholagreenSouthsecondSampling3stemElongation,0,0
2018,Bhola,greenSouth,22.609223,90.618144,secondSampling,Thu Mar 01 00:00:00 UTC 2018,4,stemElongation,BholagreenSouthsecondSampling4stemElongation,0,0
2018,Bhola,greenSouth,22.610945,90.617144,secondSampling,Thu Mar 01 00:00:00 UTC 2018,5,stemElongation,BholagreenSouthsecondSampling5stemElongation,0,0
